"TOA5","73411","CR1000X","73411","CR1000X.8.4.0","CPU:DRF_16122025.CR1X","35504","DRF"
"TIMESTAMP","RECORD","Batt_volt_Min","BatterySOC","PTemp","VWC_1_40cm","VWC_2_82cm","VWC_3_184cm","VWC_4_287cm","VWC_5_389cm","VWC_6_491cm","VWC_7_594cm","PT_1_40cm","PT_2_123cm","PT_3_225cm","PT_4_328cm","PT_5_430cm","PT_6_532cm","PT_7_635cm","TEMP_1_40cm","TEMP_2_40cm","TEMP_3_40cm","TEMP_4_40cm","TEMP_5_40cm","TEMP_6_40cm","TEMP_7_40cm","DPT_1_50cm","DPT_2_152cm","DPT_3_254cm","DPT_4_356cm","DPT_5_459cm","DPT_6_561cm","DPT_7_664cm","APT_EX","APT_2_152cm","APT_3_254cm","APT_4_356cm","APT_5_459cm","APT_6_561cm","APT_7_664cm"
"TS","RN","Volts","%","Deg C","%","%","%","%","%","%","%","mBar","mBar","mBar","mBar","mBar","mBar","mBar","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-12-20 02:30:00",0,13.04,0.75,20.82,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",-3.153,-3.201,-3.199,-3.197,-3.204,-3.16,-3.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.5,-2.118,-3.303,0.071,-0.034,-0.769,-3.334
"2025-12-19 20:30:00",1,13.04,0.75,20.8,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",-3.188,-3.207,-3.204,-3.206,-3.193,-3.158,-3.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.6,-2.146,-3.307,0.036,-0.08,-0.808,-3.362
"2025-12-19 20:30:00",2,13.03,0.75,20.71,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",-3.206,-3.205,-3.154,-3.196,-3.161,-3.17,-3.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.6,-2.149,-3.327,0.026,-0.099,-0.819,-3.382
"2025-12-19 20:30:00",3,13.04,0.75,20.65,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",-3.211,-3.205,-3.204,-3.163,-3.163,-3.156,-3.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.6,-2.13,-3.304,0.027,-0.075,-0.848,-3.365
"2025-12-19 20:45:00",4,13,0.74,19.77,12.8,14.76,22.46,16.78,16.26,23.16,15.33,631.8,586.9,613.4,666.8,654.9,634.1,653,25,26.6,24.8,23.8,23.1,23.5,22.6,0,0,0.9,0,0,0,0,978,-3.346,-4.417,-0.597,0.136,-0.852,-4.627
"2025-12-19 21:00:00",5,12.97,0.73,19.57,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",-3.097,-3.099,-3.104,-3.151,-3.143,-3.156,-3.145,25,26.6,24.8,23.8,23.1,23.5,22.6,0,0,0.9,0,0,0,0,650.7,-2.211,-3.386,-0.05,-0.156,-0.871,-3.425
"2025-12-19 21:45:00",6,12.9,0.71,18.19,12.9,14.7,20.8,15.8,15.2,21.2,15.3,630.5,654.7,608.9,650.7,647.1,637.2,655.6,25.3,26.7,24.8,23.7,23,23.5,22.5,0,-0.1,0.9,0.1,0,-0.1,-0.2,979,-3.585,-4.646,-1.101,-0.301,-1.042,-4.968
"2025-12-19 22:15:00",7,12.88,0.69,19.15,13.1,14.4,20.8,15.8,15.5,21.2,14.6,630,683,608.3,640.2,649.3,638.3,652.4,25.4,26.8,24.9,23.8,23,23.5,22.6,0,0,1,0.1,0,0.2,0,979,-3.487,-4.483,-0.84,-0.043,-0.934,-4.584
"2025-12-19 22:30:00",8,12.87,0.69,19.57,12.9,14.7,21.1,15.8,15.5,20.9,14.6,629.8,700.2,607.8,641.2,649.2,639.2,654,25.4,27,25,23.8,23,23.5,22.5,-0.1,-0.1,0.9,0,0,-0.1,-0.2,979,-3.453,-4.492,-0.885,-0.115,-1.025,-4.688
"2025-12-19 22:45:00",9,12.89,0.7,19.74,12.9,14.7,20.6,15.6,15.5,21.7,15.1,630.4,716.2,608.2,643.4,651.7,641.4,655.4,25.4,27.1,25,23.8,23,23.6,22.6,-0.2,-0.1,0.9,0.1,0,-0.1,-0.1,979,-3.439,-4.451,-0.854,-0.052,-0.879,-4.603
