"TOA5","73411","CR1000X","73411","CR1000X.8.4.0","CPU:DRF_16122025.CR1X","35504","DRF_RawData"
"TIMESTAMP","RECORD","VWC_r1_40cm","VWC_r2_82cm","VWC_r3_184cm","VWC_r4_287cm","VWC_r5_389cm","VWC_r6_491cm","VWC_r7_594cm","PER_1_40cm","PER_2_82cm","PER_3_184cm","PER_4_287cm","PER_5_389cm","PER_6_491cm","PER_7_594cm","rPT_1_40cm","rPT_2_123cm","rPT_3_225cm","rPT_4_328cm","rPT_5_430cm","rPT_6_532cm","rPT_7_635cm","rAPT_EX","rAPT_2_152cm","rAPT_3_254cm","rAPT_4_356cm","rAPT_5_459cm","rAPT_6_561cm","rAPT_7_664cm"
"TS","RN","%","%","%","%","%","%","%","unit","unit","unit","unit","unit","unit","unit","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-12-20 02:30:00",0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,-3.859,-3.917,-3.915,-3.912,-3.921,-3.867,-3.858,2354,2346,2342,2354,2354,2351,2342
"2025-12-19 20:30:00",1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,-3.901,-3.924,-3.921,-3.923,-3.907,-3.865,-3.861,2354,2346,2342,2354,2354,2351,2342
"2025-12-19 20:30:00",2,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,-3.923,-3.922,-3.86,-3.911,-3.869,-3.88,-3.917,2354,2346,2342,2354,2354,2351,2342
"2025-12-19 20:30:00",3,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",0,0,0,0,0,0,0,-3.929,-3.921,-3.921,-3.871,-3.87,-3.863,-3.862,2354,2346,2342,2354,2354,2351,2342
"2025-12-19 20:45:00",4,12.8,15.9,17.8,17.4,17.1,18.7,16.9,6.7,8.2,9.2,9,8.8,9.6,8.7,764.8,710.4,742.5,807,792.7,767.6,790.4,3563,3551,3547,3561,3564,3560,3546
"2025-12-19 21:00:00",5,"NAN","NAN","NAN","NAN","NAN","NAN","NAN",6.7,8.2,9.2,9,8.8,9.6,8.7,-3.79,-3.793,-3.799,-3.856,-3.847,-3.862,-3.849,2355,2347,2342,2354,2354,2351,2342
"2025-12-19 21:45:00",6,12.9,16,17.8,17.5,17,18.7,17.1,6.8,8.2,9.1,9,8.7,9.6,8.8,763.2,792.5,737.1,787.7,783.3,771.3,793.6,3565,3551,3548,3561,3564,3561,3546
"2025-12-19 22:15:00",7,13.1,15.9,17.8,17.5,17.1,18.7,16.8,6.9,8.2,9.1,9,8.8,9.6,8.6,762.5,827,736.3,774.9,785.9,772.7,789.6,3565,3552,3549,3562,3565,3562,3548
"2025-12-19 22:30:00",8,12.9,16,17.9,17.5,17.1,18.6,16.8,6.8,8.2,9.2,9,8.8,9.6,8.6,762.4,848,735.8,776.2,785.8,773.7,791.6,3566,3553,3549,3562,3565,3562,3548
"2025-12-19 22:45:00",9,12.9,16,17.7,17.4,17.1,18.9,17,6.8,8.2,9.1,9,8.8,9.7,8.7,763.1,867,736.2,778.8,788.8,776.4,793.3,3566,3553,3549,3563,3566,3562,3549
"2025-12-19 23:00:00",10,12.9,16,17.7,17.4,17.1,18.7,17,6.8,8.2,9.1,9,8.8,9.7,8.7,762.7,883,735.4,778.9,790.5,777.9,794.3,3565,3553,3549,3562,3565,3562,3548
"2025-12-19 23:15:00",11,13.2,16,17.7,17.5,17.1,18.9,17.1,6.9,8.2,9.1,9,8.8,9.7,8.8,762.3,896,734.7,779.3,792.1,778.9,778.6,3566,3553,3549,3562,3566,3562,3548
"2025-12-19 23:30:00",12,13.1,16.1,17.7,17.5,17.1,18.7,17,6.9,8.3,9.1,9,8.8,9.7,8.7,761.9,907,734,780,793.4,780.3,784.1,3565,3553,3549,3562,3565,3562,3549
