"TOA5","73410","CR1000X","73410","CR1000X.8.4.0","CPU:Romeral_10032026.CR1X","36289","Romeral"
"TIMESTAMP","RECORD","Batt_volt_Min","BatterySOC","PTemp","VWC_1_158cm","VWC_2_518cm","VWC_3_878cm","VWC_4_1239cm","VWC_5_1599cm","VWC_6_1960cm","VWC_7_2320cm","VWC_8_2681cm","PT_1_203cm","PT_2_563cm","PT_3_923cm","PT_4_1284cm","PT_5_1644cm","PT_6_2005cm","PT_7_2365cm","PT_8_2726cm","TEMP_1_158cm","TEMP_2_518cm","TEMP_3_878cm","TEMP_4_1239cm","TEMP_5_1599cm","TEMP_6_1960cm","TEMP_7_2320cm","TEMP_8_2681cm","DPT_1_244cm","DPT_2_604cm","DPT_3_964cm","DPT_4_1325cm","DPT_5_1685cm","DPT_6_2046cm","DPT_7_2406cm","DPT_8_2767cm","APT_EX","APT_2_604cm","APT_3_964cm","APT_4_1325cm","APT_5_1685cm","APT_6_2046cm","APT_7_2406cm","APT_8_2767cm"
"TS","RN","Volts","%","Deg C","%","%","%","%","%","%","%","%","mBar","mBar","mBar","mBar","mBar","mBar","mBar","mBar","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm","cm"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-20 21:30:00",351,13.59,0.99,28.92,2.7,26.7,36,33.3,42.1,39.3,45.9,32,619.3,635.6,622.3,615.5,611,654.7,641.9,633.1,29.3,27.1,26.9,26.8,26.3,25.9,25.6,25.7,0.7,0.5,0.9,0.4,-0.2,-2.1,-0.5,0.6,948,-0.716,-0.362,-3.72,-4.804,-2.464,-0.515,0.771
"2026-01-20 21:45:00",352,13.54,0.97,28.69,2.7,27.1,36,33.7,42.5,39.8,45.9,32.4,617.3,635.1,622.1,613.8,610.3,655,641.8,633.2,29.2,27.1,26.9,26.8,26.3,25.9,25.5,25.7,0.7,0.5,0.9,0.4,-0.1,-2.1,-0.5,0.6,948,-0.732,-0.349,-3.691,-4.766,-2.506,-0.506,0.759
"2026-01-20 22:00:00",353,13.37,0.92,28.17,2.7,26.4,36.5,33.3,42.5,40.2,46.3,32,613.5,634,621.3,612.9,609.7,655.5,641.6,618.9,29.2,27.1,26.8,26.8,26.3,25.8,25.5,25.7,0.8,0.5,0.9,0.4,-0.1,-2.1,-0.5,0.6,948,-0.597,-0.24,-3.635,-4.685,-2.359,-0.378,0.969
"2026-01-20 22:15:00",354,13.24,0.88,27.46,2.8,26.7,36,33.7,42.1,39.8,46.3,31.7,609.8,632.8,620.6,612,609.3,656.2,641.5,619.2,29.1,27,26.8,26.7,26.3,25.8,25.5,25.7,0.7,0.4,0.8,0.4,-0.2,-2.1,-0.6,0.6,948,-0.588,-0.182,-3.624,-4.644,-2.351,-0.371,1.006
"2026-01-20 22:30:00",355,13.09,0.81,26.64,2.7,26.7,36,33.3,42.1,39.8,45.9,31.7,608.8,631.8,619.5,611.2,608.7,656.4,641.3,619.3,29,27,26.8,26.7,26.3,25.8,25.5,25.7,0.7,0.4,0.8,0.4,-0.2,-2.1,-0.6,0.6,948,-0.513,-0.095,-3.489,-4.523,-2.279,-0.256,1.079
"2026-01-20 22:45:00",356,13.05,0.8,25.91,2.7,26.7,36,33.3,42.5,40.2,45.9,31.7,606.5,631.4,619,610.8,608.7,656.6,641.6,619.6,29,27,26.8,26.7,26.3,25.8,25.5,25.7,0.7,0.4,0.7,0.3,-0.3,-2.2,-0.6,0.6,948,-0.574,-0.127,-3.505,-4.52,-2.292,-0.28,1.101
"2026-01-20 23:00:00",357,12.99,0.77,25.22,2.7,26.7,36,34.1,42.1,39.8,45.9,31.7,604.6,631.9,618.4,610.6,608.5,656.6,641.7,619.9,29,27,26.8,26.7,26.3,25.8,25.5,25.6,0.7,0.3,0.6,0.2,-0.4,-2.3,-0.7,0.6,948,-0.651,-0.263,-3.645,-4.659,-2.46,-0.391,1.135
"2026-01-20 23:15:00",358,12.96,0.77,24.52,2.5,27.1,36,33.3,42.5,39.8,45.9,31.7,603.9,632.4,618.9,611.4,609.5,657.7,642.8,621.2,28.9,27,26.7,26.7,26.2,25.8,25.4,25.6,0.7,0.3,0.7,0.3,-0.3,-2.2,-0.7,0.6,948,-0.477,-0.105,-3.419,-4.489,-2.238,-0.157,1.272
"2026-01-20 23:30:00",359,12.97,0.77,23.81,2.7,26.7,36,33.7,42.5,39.8,46.3,31.7,602.6,632.3,618.5,611.5,609.5,658,643.2,620.9,28.9,27,26.7,26.6,26.2,25.7,25.4,25.6,0.7,0.4,0.8,0.3,-0.2,-2.2,-0.6,0.6,948,-0.449,0.013,-3.31,-4.403,-2.162,-0.124,1.301
"2026-01-20 23:45:00",360,12.96,0.77,23.14,2.7,26.7,36.5,32.9,42.1,39.8,46.3,31.7,601.4,632.3,618.1,611.2,609.6,658.2,643.4,621.8,28.8,26.9,26.7,26.6,26.2,25.7,25.4,25.6,0.7,0.3,0.7,0.3,-0.3,-2.3,-0.7,0.6,948,-0.39,0.034,-3.278,-4.403,-2.146,-0.096,1.339
"2026-01-21 00:00:00",361,12.95,0.77,22.55,2.7,26.7,36,33.3,42.1,39.3,46.3,31.7,600.5,632,617.9,611.5,609.6,658.4,643.7,622.6,28.8,26.9,26.7,26.6,26.2,25.7,25.4,25.6,0.7,0.2,0.6,0.2,-0.4,-2.4,-0.8,0.5,948,-0.466,-0.002,-3.426,-4.492,-2.258,-0.211,1.309
"2026-01-21 00:15:00",362,12.94,0.77,22.04,2.7,26.7,36,33.3,42.5,39.8,45.9,31.7,599.6,632.6,617.6,611.2,609.8,658.6,644,623.2,28.7,26.8,26.7,26.6,26.2,25.7,25.4,25.6,0.7,0.2,0.6,0.1,-0.5,-2.4,-0.9,0.6,948,-0.459,-0.05,-3.435,-4.529,-2.276,-0.288,1.311
"2026-01-21 00:30:00",363,12.93,0.77,21.59,2.7,26.7,36,33.3,42.5,39.8,45.9,31.7,599,632.9,617.5,611.3,610,658.9,644.3,623.7,28.7,26.8,26.7,26.5,26.2,25.7,25.4,25.6,0.7,0,0.4,0,-0.6,-2.5,-1,0.6,948,-0.679,-0.276,-3.611,-4.72,-2.459,-0.373,1.348
"2026-01-21 00:45:00",364,12.92,0.76,21.19,2.7,26.7,36,33.3,42.5,39.8,46.3,31.7,598.4,632.7,617.4,611.4,610.2,659,644.6,624.3,28.7,26.8,26.6,26.6,26.1,25.7,25.4,25.6,0.7,0,0.4,0,-0.6,-2.6,-1,0.6,948,-0.625,-0.174,-3.507,-4.581,-2.38,-0.334,1.409
"2026-01-21 01:00:00",365,12.92,0.76,20.85,2.7,26.7,36,33.7,42.1,39.8,45.9,31.7,597.9,633.4,617.5,611.8,610.4,655.4,644.8,624.9,28.6,26.8,26.6,26.5,26.1,25.7,25.4,25.6,0.7,-0.1,0.3,-0.1,-0.7,-2.7,-1.1,0.6,948,-0.694,-0.276,-3.644,-4.745,-2.545,-0.431,1.429
"2026-01-21 01:15:00",366,12.91,0.76,20.57,2.7,27.1,36,33.7,42.1,39.8,45.9,32,597.6,633.9,617.6,612.3,610.7,655.6,645.1,625.3,28.6,26.8,26.6,26.5,26.1,25.6,25.4,25.6,0.7,-0.2,0.2,-0.2,-0.8,-2.8,-1.2,0.6,948,-0.698,-0.227,-3.605,-4.703,-2.517,-0.397,1.55
"2026-01-21 01:30:00",367,12.89,0.75,20.36,2.7,26.7,36.5,32.9,42.5,40.2,46.3,32,597.4,634.5,617.6,612.4,611,655.9,645.4,625.9,28.6,26.8,26.6,26.5,26.1,25.7,25.3,25.5,0.7,-0.2,0.2,-0.2,-0.8,-2.8,-1.2,0.6,948,-0.788,-0.277,-3.624,-4.661,-2.499,-0.409,1.554
"2026-01-21 01:45:00",368,12.9,0.75,20.18,2.8,26.7,36.5,33.7,42.1,39.8,46.3,31.7,597.1,634.8,617.7,612.6,611.3,656.2,645.6,626.5,28.5,26.8,26.6,26.5,26.1,25.6,25.3,25.5,0.6,-0.2,0.2,-0.2,-0.8,-2.8,-1.2,0.6,948,-0.875,-0.401,-3.785,-4.817,-2.703,-0.553,1.495
"2026-01-21 02:00:00",369,12.89,0.75,20.02,2.7,26.7,36,33.3,42.5,39.8,45.9,31.7,597,635.5,617.9,612.9,611.6,656.5,645.3,627.3,28.5,26.7,26.5,26.5,26.1,25.6,25.3,25.5,0.7,-0.3,0.1,-0.3,-0.9,-2.9,-1.3,0.6,948,-0.907,-0.423,-3.821,-4.823,-2.624,-0.531,1.495
"2026-01-21 02:15:00",370,12.89,0.74,19.89,2.7,26.7,36,33.3,42.5,39.8,46.3,32,596.8,636,618,613.2,612,654.8,645.3,628.1,28.5,26.7,26.5,26.4,26,25.6,25.2,25.5,0.6,-0.3,0.1,-0.3,-0.9,-2.9,-1.3,0.6,948,-0.9,-0.411,-3.768,-4.851,-2.634,-0.569,1.505
"2026-01-21 02:30:00",371,12.88,0.74,19.79,2.7,26.7,36.5,33.3,42.1,40.2,45.9,31.7,596.7,636.3,618.2,613.4,612.3,655.2,645.5,628.7,28.4,26.7,26.6,26.4,26.1,25.6,25.3,25.5,0.6,-0.5,-0.1,-0.5,-1.1,-3.1,-1.4,0.5,948,-1.027,-0.527,-3.897,-4.994,-2.795,-0.731,1.463
