"TOA5","73410","CR1000X","73410","CR1000X.8.4.0","CPU:Romeral_10032026.CR1X","36289","FTPMonitor"
"TIMESTAMP","RECORD","Batt_volt_Min","FTPResultRomeral","FTPResultRomeral_Raw","FTPResultRain"
"TS","RN","Volts","","",""
"","","Min","Smp","Smp","Smp"
"2026-03-11 12:10:00",0,13.58,-1,-1,-2
"2026-03-11 12:10:00",1,13.57,-2,-2,-2
"2026-03-11 18:10:00",2,13.58,-1,-1,-2
"2026-03-12 00:10:00",3,12.88,-1,-1,-1
"2026-03-12 06:10:00",4,12.66,-1,-1,-2
"2026-03-12 12:10:00",5,13.56,-1,-1,-2
"2026-03-12 18:10:00",6,13.57,-1,-1,-2
"2026-03-13 00:10:00",7,12.86,-1,-1,-1
"2026-03-13 06:10:00",8,12.68,-1,-1,-2
"2026-03-13 12:10:00",9,13.58,-1,-1,-1
"2026-03-13 18:10:00",10,13.56,-1,-1,-2
"2026-03-14 00:10:00",11,12.86,-1,-1,-1
"2026-03-14 06:10:00",12,12.7,-1,-1,-2
"2026-03-14 12:10:00",13,13.98,-1,-1,-2
"2026-03-14 18:10:00",14,13.59,-1,-1,-2
"2026-03-15 00:10:00",15,12.86,-1,-1,-1
"2026-03-15 06:10:00",16,12.67,-1,-1,-2
"2026-03-15 12:10:00",17,13.58,-1,-1,-2
"2026-03-15 18:10:00",18,13.58,-1,-1,-2
"2026-03-16 00:10:00",19,12.86,-1,-1,-1
"2026-03-16 06:10:00",20,12.68,-1,-1,-2
"2026-03-16 12:10:00",21,13.56,-1,-1,-2
"2026-03-16 18:10:00",22,13.57,-1,-1,-2
"2026-03-17 00:10:00",23,12.88,-1,-1,-1
"2026-03-17 06:10:00",24,12.72,-1,-1,-2
"2026-03-17 12:10:00",25,13.57,-1,-1,-2
"2026-03-17 18:10:00",26,13.57,-1,-1,-2
"2026-03-18 00:10:00",27,12.88,-1,-1,-1
"2026-03-18 06:10:00",28,12.7,-1,-1,-2
"2026-03-18 12:10:00",29,13.57,-1,-1,-2
"2026-03-18 18:10:00",30,13.57,-1,-1,-2
"2026-03-19 00:10:00",31,12.86,-1,-1,-1
"2026-03-19 06:10:00",32,12.69,-1,-1,-2
"2026-03-19 12:10:00",33,13.59,-1,0,-2
"2026-03-19 18:10:00",34,13.58,-1,-1,-2
"2026-03-20 00:10:00",35,12.84,-1,-1,-1
"2026-03-20 06:10:00",36,12.7,-1,-1,-2
"2026-03-24 00:10:00",51,12.86,0,0,0
"2026-03-24 06:10:00",52,12.64,0,0,0
"2026-03-24 12:10:00",53,13.58,0,0,0
"2026-03-24 18:10:00",54,13.58,0,0,0
"2026-03-25 00:10:00",55,12.86,0,0,0
"2026-03-25 06:10:00",56,12.64,0,0,0
"2026-03-25 12:10:00",57,13.58,0,0,0
"2026-03-25 18:10:00",58,13.59,-1,0,-1
"2026-03-26 00:10:00",59,12.86,-1,-1,-1
"2026-03-26 06:10:00",60,12.62,-1,-1,-2
"2026-03-26 12:10:00",61,13.58,-1,-1,-2
"2026-03-26 18:10:00",62,13.58,-1,-1,-2
"2026-03-27 00:10:00",63,12.86,-1,-1,-1
"2026-03-27 06:10:00",64,12.67,-1,-1,-2
"2026-03-27 12:10:00",65,13.56,-1,-1,-2
"2026-03-27 18:10:00",66,13.56,-1,-1,-2
"2026-03-28 00:10:00",67,12.86,-1,-1,-1
"2026-03-28 06:10:00",68,12.68,-1,-1,-2
"2026-03-28 12:10:00",69,13.56,-1,-1,-2
"2026-03-28 18:10:00",70,13.57,-1,-1,-2
"2026-03-29 00:10:00",71,12.86,-1,-1,-1
"2026-03-29 06:10:00",72,12.68,-1,-1,-2
"2026-03-29 12:10:00",73,13.58,-1,-1,-2
"2026-03-29 18:10:00",74,13.59,-1,-1,-2
"2026-03-30 00:10:00",75,12.85,-1,-1,-1
"2026-03-30 06:10:00",76,12.66,-1,-1,-2
"2026-03-30 12:10:00",77,13.99,-1,-1,-2
"2026-03-30 18:10:00",78,13.57,-1,-1,-2
"2026-03-31 00:10:00",79,12.86,-1,-1,-1
"2026-03-31 06:10:00",80,12.69,-1,-1,-2
"2026-03-31 12:10:00",81,13.98,-1,-1,-2
"2026-03-31 18:10:00",82,13.58,-1,-1,-2
"2026-04-01 00:10:00",83,12.86,-1,-1,-1
"2026-04-01 06:10:00",84,12.72,-1,-1,-2
"2026-04-01 12:10:00",85,13.98,-1,-1,-2
"2026-04-01 18:10:00",86,13.59,-1,-1,-2
"2026-04-02 00:10:00",87,12.85,-1,-1,-1
"2026-04-02 06:10:00",88,12.69,-1,-1,-2
"2026-04-02 12:10:00",89,13.98,-1,-1,-2
"2026-04-02 18:10:00",90,13.6,-1,-1,-2
"2026-04-03 00:10:00",91,12.87,-1,-1,-1
"2026-04-03 06:10:00",92,12.67,-1,-1,-2
"2026-04-03 12:10:00",93,13.56,-1,-1,-2
